Team Name,Conference
Albany (NY),America East
Binghamton,America East
Hartford,America East
Maine,America East
Maryland-Baltimore County,America East
Massachusetts-Lowell,America East
New Hampshire,America East
NJIT,America East
Stony Brook,America East
Vermont,America East
Central Florida,American Athletic
Cincinnati,American Athletic
East Carolina,American Athletic
Houston,American Athletic
Memphis,American Athletic
South Florida,American Athletic
Southern Methodist,American Athletic
Temple,American Athletic
Tulane,American Athletic
Tulsa,American Athletic
Wichita State,American Athletic
Queens (NC),Atlantic Sun
Davidson,Atlantic 10
Dayton,Atlantic 10
Duquesne,Atlantic 10
Fordham,Atlantic 10
George Mason,Atlantic 10
George Washington,Atlantic 10
La Salle,Atlantic 10
Massachusetts,Atlantic 10
Rhode Island,Atlantic 10
Richmond,Atlantic 10
Saint Joseph's,Atlantic 10
Saint Louis,Atlantic 10
St. Bonaventure,Atlantic 10
Virginia Commonwealth,Atlantic 10
Boston College,Atlantic Coast
Clemson,Atlantic Coast
Duke,Atlantic Coast
Florida State,Atlantic Coast
Georgia,Atlantic Coast
Georgia Tech,Atlantic Coast
Louisville,Atlantic Coast
Miami (FL),Atlantic Coast
NC State,Atlantic Coast
North Carolina,Atlantic Coast
Notre Dame,Atlantic Coast
Pittsburgh,Atlantic Coast
Syracuse,Atlantic Coast
Virginia,Atlantic Coast
Virginia Tech,Atlantic Coast
Wake Forest,Atlantic Coast
Bellarmine,Atlantic Sun
Central Arkansas,Atlantic Sun
Eastern Kentucky,Atlantic Sun
Florida Gulf Coast,Atlantic Sun
Jacksonville,Atlantic Sun
Jacksonville State,Atlantic Sun
Kennesaw State,Atlantic Sun
Liberty,Atlantic Sun
Lipscomb,Atlantic Sun
North Alabama,Atlantic Sun
North Florida,Atlantic Sun
Stetson,Atlantic Sun
Baylor,Big 12
Iowa State,Big 12
Kansas,Big 12
Kansas State,Big 12
Oklahoma,Big 12
Oklahoma State,Big 12
TCU,Big 12
Texas,Big 12
Texas Tech,Big 12
West Virginia,Big 12
Butler,Big East
Connecticut,Big East
Creighton,Big East
DePaul,Big East
Georgetown,Big East
Marquette,Big East
